département;Ville;longitude;Latitude
1;SAINT-GENIS-SUR-MENTHON;5.01667;46.2833
1;DOMSURE;5.3;46.4167
1;CHAVANNES-SUR-SURAN;5.41667;46.2667
1;PRIAY;5.28333;46
1;PEYRIEU;5.67751;45.6767
1;LALLEYRIAT;5.71667;46.15
1;SERGY;6;46.25
1;SAINT-MARTIN-DU-FRENE;5.55;46.1333
1;SAINT-MAURICE-DE-BEYNOST;4.96667;45.8333
1;SERVAS;5.16667;46.1333
1;CUZIEU;5.67445;45.8192
1;JAYAT;5.11667;46.3667
1;LAVOURS;5.76667;45.8
1;CHEVROUX;4.95;46.3833
1;POLLIEU;5.75;45.8
1;BELIGNEUX;5.11667;45.8667
1;BRENAZ;5.71667;45.95
1;BENONCES;5.48333;45.8333
1;SAINT-JEAN-LE-VIEUX;5.38917;46.0284
1;BEAUREGARD;4.75139;46.002
1;OYONNAX;5.66667;46.25
1;MIONNAY;4.93333;45.9
1;GERMAGNAT;5.45;46.3167
1;COLIGNY;5.35;46.3833
1;SIMANDRE-SUR-SURAN;5.41667;46.2167
1;L'ABERGEMENT-CLEMENCIAT;4.91667;46.15
1;LESCHEROUX;5.15;46.4
1;ORNEX;6.1;46.2833
1;DOMMARTIN;4.99167;46.3417
1;LOMPNAS;5.51667;45.8
1;BETTANT;5.36667;45.9333
1;ARMIX;5.58333;45.85
1;FEILLENS;4.88333;46.3333
1;CHAVORNAY;5.7;45.8833
1;CHALLEX;5.96667;46.1833
1;VONGNES;5.71667;45.8167
1;MAGNIEU;5.71667;45.7833
1;GROISSIAT;5.6;46.2167
1;DOMPIERRE-SUR-CHALARONNE;4.9;46.1333
1;MONTLUEL;5.05;45.85
1;LE POIZAT;5.7;46.15
1;HOSTIAZ;5.53333;45.9
1;MONTANGES;5.8;46.1667
1;SAINTE-JULIE;5.28333;45.8833
1;BEY;4.85;46.2167
1;SONTHONNAX-LA-MONTAGNE;5.53333;46.2333
1;MEZERIAT;5.03333;46.2333
1;BELLIGNAT;5.61667;46.25
1;SAINT-MARCEL;4.98723;45.9487
1;BELLEY;5.68333;45.7667
1;CORBONOD;5.81667;45.95
1;NEYRON;4.93223;45.8148
1;SAINT-PAUL-DE-VARAX;5.13333;46.1
1;PRESSIAT;5.38333;46.3333
1;CHAZEY-BONS;5.68333;45.8
1;SERVIGNAT;5.06667;46.4333
1;MARLIEUX;5.06667;46.0667
1;ANDERT-ET-CONDON;5.65;45.8
1;HAUTECOURT-ROMANECHE;5.41667;46.1583
1;CROTTET;4.9;46.2833
